index,date,iso_code,total_vacc
140,2021-12-16,ALB,6729427.905182719
141,2021-12-17,ALB,6739620.664907813
142,2021-12-18,ALB,6749611.319626093
143,2021-12-19,ALB,6759406.120007873
144,2021-12-20,ALB,6769005.760572076
145,2021-12-21,ALB,6778414.408432245
146,2021-12-22,ALB,6787635.536183
147,2021-12-23,ALB,6796670.532862186
148,2021-12-24,ALB,6805524.260102272
149,2021-12-25,ALB,6814198.801460028
150,2021-12-26,ALB,6822696.935011148
151,2021-12-27,ALB,6831022.133350253
152,2021-12-28,ALB,6839176.480034113
153,2021-12-29,ALB,6847164.1421762705
154,2021-12-30,ALB,6854987.203333497
155,2021-12-31,ALB,6862647.05254364
156,2022-01-01,ALB,6870149.940477014
157,2022-01-02,ALB,6877495.867133617
158,2022-01-03,ALB,6884688.999626994
159,2022-01-04,ALB,6891730.726994991
160,2022-01-05,ALB,6898625.2163511515
161,2022-01-06,ALB,6905375.24577117
162,2022-01-07,ALB,6911981.50977397
163,2022-01-08,ALB,6918448.869992018
164,2022-01-09,ALB,6924778.7154631615
165,2022-01-10,ALB,6930973.129744172
166,2022-01-11,ALB,6937036.279948592
167,2022-01-12,ALB,6942968.8605953455
168,2022-01-13,ALB,6948775.038797975
169,2022-01-14,ALB,6954456.203594327
170,2022-01-15,ALB,6960015.133060098
171,2022-01-16,ALB,6965453.910752058
172,2022-01-17,ALB,6970774.620226979
173,2022-01-18,ALB,6975980.039560556
174,2022-01-19,ALB,6981072.252309561
175,2022-01-20,ALB,6986054.036549687
176,2022-01-21,ALB,6990926.08679986
177,2022-01-22,ALB,6995692.570173621
178,2022-01-23,ALB,7000354.181189895
179,2022-01-24,ALB,7004913.003405452
180,2021-10-27,DZA,5914080.051662207
181,2021-10-28,DZA,5930342.906780958
182,2021-10-29,DZA,5949708.872451067
183,2021-10-30,DZA,5970487.4896121025
184,2021-10-31,DZA,5991962.014734745
185,2021-11-01,DZA,6013704.624161959
186,2021-11-02,DZA,6035468.069156885
187,2021-11-03,DZA,6057108.584302306
188,2021-11-04,DZA,6078542.827327371
189,2021-11-05,DZA,6099724.95998311
190,2021-11-06,DZA,6120629.285069346
191,2021-11-07,DZA,6141239.828650832
192,2021-11-08,DZA,6161551.729095101
193,2021-11-09,DZA,6181560.819288611
194,2021-11-10,DZA,6201265.015674591
195,2021-11-11,DZA,6220665.012771964
196,2021-11-12,DZA,6239760.81058073
197,2021-11-13,DZA,6258554.492657661
198,2021-11-14,DZA,6277048.142559528
199,2021-11-15,DZA,6295223.00827539
200,2021-11-16,DZA,6313083.256918788
201,2021-11-17,DZA,6330715.008836269
202,2021-11-18,DZA,6348059.229919314
203,2021-11-19,DZA,6365118.003724694
204,2021-11-20,DZA,6381894.802847028
205,2021-11-21,DZA,6398391.0163241625
206,2021-11-22,DZA,6414610.811269641
207,2021-11-23,DZA,6430555.576721311
208,2021-11-24,DZA,6446229.479792714
209,2021-11-25,DZA,6461633.909521699
